name,red_mean,red_std,green_mean,green_std,blue_mean,blue_std
tomato,33.2773,58.75041620882357,13.6024,24.014768669300146,13.3595,23.585933514491217
tomato,60.4384,83.57247277327625,22.321,30.864833694675884,17.8568,24.69186695574071
tomato,24.66035,54.021266070664254,11.55415,25.310663124017513,10.86435,23.799578758404532
tomato,30.191525,62.84351472645665,10.5014,21.858613817897968,8.2511,17.174625142634117
tomato,37.934325,63.13157262253472,17.50815,29.13764890270833,16.44705,27.371730787392668
tomato,23.72755,55.59717682578406,13.86675,32.49185658649718,12.480075,29.242670927847463
tomato,23.843725,54.62775670961032,15.04235,34.46314852821054,12.48195,28.59708069362151
tomato,32.271975,66.91059224516978,17.3627,35.9986812079276,14.72055,30.520621024112533
tomato,41.468,70.10909339023006,15.03215,25.414546353958396,12.95875,21.909091684446892
tomato,35.3724,68.49347792483603,22.52885,43.62382224974675,18.9495,36.69293460259073
tomato,45.92525,72.69688206819808,16.5445,26.18893888171111,13.97725,22.12513802075594
tomato,38.633175,71.51049373636972,24.85175,46.0009024035127,22.14065,40.98262214131131
tomato,33.1331,60.33432675011797,18.536,33.753469510555504,16.6824,30.37812255949995
tomato,66.4136,85.31135525262741,26.79185,34.41537626668493,20.3769,26.175074907056143
tomato,47.2944,75.24230544474298,19.824,31.538690904982094,14.7264,23.428741815129555
tomato,49.9491,77.75849477188972,20.1549,31.376234732516906,15.1892,23.6458580592881
tomato,33.2683,65.69591399097816,20.6141,40.707284129379104,15.3075,30.228181284192406
tomato,21.10185,51.543029369425895,11.1969,27.349362522552518,9.7614,23.843033994020136
tomato,44.519925,76.79845703524502,26.410125,45.55840671582332,19.367425,33.40949825827043
tomato,34.11315,66.05015743416136,14.74025,28.54019148389688,13.4768,26.093889356705724
tomato,28.4715,63.702434708180505,15.984,35.762770362487295,12.4875,27.939664345693203
tomato,61.9962,83.32952649307447,25.6536,34.48118337644461,19.5965,26.339792857006294
tomato,33.4025,63.73115795080143,16.1625,30.83765707296843,15.3005,29.192982029076784
